World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1,Harvard University,USA,1,1,1,1,1,100.0
2,Massachusetts Institute of Technology,USA,2,4,12,2,7,96.7
3,Stanford University,USA,3,11,4,3,2,95.1
6,Princeton University,USA,4,5,15,6,79,92.6
7,University of Chicago,USA,5,8,16,21,22,92.0
8,Columbia University,USA,6,12,14,10,14,91.5
9,University of Pennsylvania,USA,7,14,8,41,11,91.1
10,California Institute of Technology,USA,8,2,104,7,80,90.7
11,Yale University,USA,9,6,36,12,20,90.4
12,"University of California, Berkeley",USA,10,9,59,5,16,90.1
14,Cornell University,USA,11,16,28,18,24,89.5
15,"University of Michigan, Ann Arbor",USA,12,29,40,59,6,89.2
16,Johns Hopkins University,USA,13,24,192,23,8,89.0
17,Northwestern University,USA,14,138,17,47,31,88.8
18,"University of California, Los Angeles",USA,15,42,63,17,15,88.6
20,Duke University,USA,16,50,48,19,25,88.2
22,University of Illinois at Urbana–Champaign,USA,17,18,139,11,73,87.8
23,New York University,USA,18,36,43,43,46,87.6
25,University of Washington,USA,19,71,231,25,9,87.3
27,University of Wisconsin–Madison,USA,20,34,100,30,35,87.0
33,University of Texas at Austin,USA,21,86,64,16,58,86.3
34,"University of California, San Diego",USA,22,118,1620,13,19,86.1
35,"University of California, San Francisco",USA,23,-,1498,14,26,86.0
39,University of North Carolina at Chapel Hill,USA,24,85,96,78,38,85.6
41,Dartmouth College,USA,25,54,18,102,286,85.4
46,Washington University in St. Louis,USA,26,133,166,36,47,85.0
48,University of Minnesota - Twin Cities,USA,27,75,308,120,30,84.8
50,University of Southern California,USA,28,314,130,28,76,84.6
52,Vanderbilt University,USA,29,384,86,65,70,84.5
53,Pennsylvania State University,USA,30,294,161,57,53,84.4
54,"University of California, Davis",USA,31,105,546,62,51,84.3
55,Rockefeller University,USA,32,15,-,8,436,84.2
57,Rutgers University,USA,33,217,138,27,91,84.1
59,Ohio State University,USA,34,122,269,129,40,84.0
62,"Texas A&M University, College Station",USA,35,-,124,70,65,83.8
65,Purdue University,USA,36,91,91,72,110,83.6
66,Brown University,USA,37,76,56,116,134,83.5
68,Georgia Institute of Technology,USA,38,307,174,26,115,83.4
69,University of Colorado Boulder,USA,39,154,175,48,93,83.3
71,University of Virginia,USA,40,324,35,176,131,83.2
72,University of Texas Southwestern Medical Center,USA,41,39,-,39,165,83.1
75,University of Pittsburgh,USA,42,234,205,262,34,83.0
76,"University of Maryland, College Park",USA,43,115,444,143,67,82.9
81,"University of California, Irvine",USA,44,385,1255,31,108,82.6
84,University of Florida,USA,45,322,449,135,61,82.5
86,Carnegie Mellon University,USA,46,57,121,38,220,82.4
90,"University of California, Santa Barbara",USA,47,213,489,20,149,82.2
91,University of Rochester,USA,48,64,74,130,172,82.2
93,University of Arizona,USA,49,490,227,73,107,82.1
99,Boston University,USA,50,420,118,218,77,81.8
111,University of Texas MD Anderson Cancer Center,USA,51,-,-,90,97,81.3
115,Indiana University Bloomington,USA,52,258,92,177,118,81.1
116,University of Utah,USA,53,247,198,132,114,81.1
129,Emory University,USA,54,467,245,-,72,80.6
136,Case Western Reserve University,USA,55,68,276,184,163,80.4
138,Baylor College of Medicine,USA,56,81,-,209,127,80.3
142,University of Iowa,USA,57,102,278,186,143,80.2
145,Tufts University,USA,58,80,67,167,257,80.1
148,University of Colorado Anschutz Medical Campus,USA,59,-,-,95,153,80.0
150,Michigan State University,USA,60,186,204,-,109,80.0
160,Rice University,USA,61,121,107,115,256,79.7
162,University of Massachusetts Amherst,USA,62,488,266,71,225,79.6
171,Icahn School of Medicine at Mount Sinai,USA,63,-,-,-,113,79.4
174,Iowa State University,USA,64,333,149,154,219,79.3
175,University of Notre Dame,USA,65,305,38,-,292,79.3
182,Arizona State University,USA,66,435,635,261,142,79.1
185,University of Alabama at Birmingham,USA,67,-,1039,204,164,79.0
188,North Carolina State University,USA,68,367,401,179,191,78.9
196,University of Kansas,USA,69,251,477,111,242,78.8
198,University of Connecticut,USA,70,487,398,114,239,78.7
203,Stony Brook University,USA,71,368,-,162,210,78.6
205,Brandeis University,USA,72,28,243,40,641,78.5
210,University of Georgia,USA,73,405,296,170,228,78.4
215,The Scripps Research Institute,USA,74,-,-,42,334,78.3
224,University of Missouri–Columbia,USA,75,431,246,88,313,78.1
225,Georgetown University,USA,76,352,47,-,345,78.1
233,University of Illinois at Chicago,USA,77,491,763,274,181,77.9
237,University of Miami,USA,78,-,233,-,195,77.9
239,Yeshiva University,USA,79,99,-,193,270,77.8
242,University of Cincinnati,USA,80,478,244,-,199,77.8
249,"University of California, Riverside",USA,81,386,-,212,234,77.6
251,University of Texas Health Science Center at Houston,USA,82,-,-,148,274,77.6
254,"University of Tennessee, Knoxville",USA,83,423,511,-,204,77.5
257,Wake Forest University,USA,84,-,66,-,318,77.5
258,Colorado State University,USA,85,454,1354,195,253,77.5
260,Virginia Commonwealth University,USA,86,-,984,117,306,77.4
262,University of Houston,USA,87,-,179,125,346,77.4
273,Oregon State University,USA,88,226,516,217,280,77.2
274,Virginia Tech,USA,89,493,332,-,233,77.2
276,Oregon Health & Science University,USA,90,-,-,-,224,77.1
289,Florida State University,USA,91,-,543,-,238,76.9
291,University of Massachusetts Medical School,USA,92,-,-,84,386,76.9
294,George Washington University,USA,93,401,160,-,281,76.8
298,Washington State University,USA,94,-,988,185,315,76.8
299,"University of California, Santa Cruz",USA,95,373,1373,265,263,76.7
300,University at Buffalo,USA,96,-,608,-,251,76.7
301,"University of Maryland, Baltimore",USA,97,-,-,-,247,76.7
304,University of Delaware,USA,98,380,487,164,348,76.7
305,University of South Florida,USA,99,-,836,-,259,76.6
306,University of Kentucky,USA,100,296,538,-,267,76.6
309,University of Nebraska–Lincoln,USA,101,169,406,-,282,76.6
315,Wayne State University,USA,102,486,395,-,277,76.5
318,University of New Mexico,USA,103,-,-,-,271,76.4
321,Northeastern University,USA,104,315,188,-,321,76.4
326,Southern Methodist University,USA,105,190,31,-,673,76.3
337,University of South Carolina - Columbia,USA,106,-,632,-,307,76.2
351,Temple University,USA,107,-,601,-,324,75.9
362,Drexel University,USA,108,-,261,227,414,75.8
375,Albert Einstein College of Medicine,USA,109,-,-,-,341,75.6
377,Louisiana State University,USA,110,458,281,-,370,75.6
392,City College of New York,USA,111,22,482,-,843,75.4
400,"University of Oklahoma, Norman",USA,112,-,392,-,383,75.3
404,Medical University of South Carolina,USA,113,-,-,-,376,75.2
407,"University at Albany, SUNY",USA,114,191,733,213,463,75.2
410,University of Oregon,USA,115,152,-,-,407,75.2
424,University of Texas at Dallas,USA,116,377,603,-,409,75.0
432,Texas Tech University,USA,117,-,518,-,418,74.9
434,Thomas Jefferson University,USA,118,-,-,-,413,74.9
436,Amherst College,USA,119,23,46,-,-,74.8
437,University of Mississippi,USA,120,-,-,-,416,74.8
446,Kansas State University,USA,121,343,496,-,430,74.7
448,Indiana University – Purdue University Indianapolis,USA,122,-,817,-,425,74.7
450,Saint Louis University,USA,123,-,350,187,536,74.7
453,Tulane University,USA,124,218,324,-,460,74.6
457,University of Alabama - Tuscaloosa,USA,125,430,223,-,468,74.6
458,Antioch College,USA,126,10,-,-,-,74.6
462,Syracuse University,USA,127,161,184,-,519,74.5
465,George Mason University,USA,128,-,1469,238,502,74.5
467,Florida International University,USA,129,-,1432,-,438,74.5
470,Medical College of Wisconsin,USA,130,-,-,-,439,74.5
473,University of Central Florida,USA,131,-,1012,-,445,74.4
474,University of Vermont,USA,132,-,450,-,459,74.4
475,University of Louisville,USA,133,-,777,-,449,74.4
486,University of Texas Health Science Center at San Antonio,USA,134,-,-,-,455,74.3
494,West Virginia University,USA,135,-,357,-,493,74.2
499,Baylor University,USA,136,-,414,-,495,74.1
501,University of Hawaii at Manoa,USA,137,395,1260,-,474,74.1
504,University of Colorado Denver,USA,138,-,-,-,476,74.1
513,University of Tennessee Health Science Center,USA,139,-,-,-,485,74.0
519,Mayo Clinic College of Medicine and Science,USA,140,-,-,-,490,73.9
521,Rush University,USA,141,-,-,-,494,73.9
522,Lehigh University,USA,142,162,61,-,790,73.9
524,Boston College,USA,143,-,120,-,588,73.9
527,Oklahoma State University,USA,144,-,519,-,512,73.8
537,Georgia State University,USA,145,-,844,-,508,73.7
548,University of Arkansas - Fayetteville,USA,146,263,349,-,548,73.6
552,Colorado School of Mines,USA,147,-,75,-,745,73.6
554,Auburn University,USA,148,-,260,-,560,73.6
570,Clemson University,USA,149,-,929,-,538,73.4
578,San Diego State University,USA,150,309,421,-,567,73.4
582,University of Texas at Arlington,USA,151,-,819,-,553,73.3
584,Rensselaer Polytechnic Institute,USA,152,436,147,-,646,73.3
598,University of Wisconsin–Milwaukee,USA,153,279,493,-,587,73.2
600,Brigham Young University,USA,154,318,780,-,575,73.1
602,University of Nebraska Medical Center,USA,155,-,-,-,568,73.1
606,Illinois Institute of Technology,USA,156,63,177,-,851,73.1
614,College of William & Mary,USA,157,-,95,-,760,73.0
626,Utah State University,USA,158,351,967,-,598,72.9
635,Swarthmore College,USA,159,19,303,-,-,72.8
643,University of New Hampshire,USA,160,-,517,-,631,72.8
659,Haverford College,USA,161,20,1177,-,1949,72.6
661,University of Texas at San Antonio,USA,162,-,-,-,627,72.6
662,Cold Spring Harbor Laboratory,USA,163,-,-,101,923,72.6
667,University of Oklahoma Health Sciences Center,USA,164,-,-,-,638,72.6
671,Binghamton University,USA,165,304,342,158,899,72.5
676,University of Wyoming,USA,166,-,778,-,650,72.5
685,"University of Nevada, Reno",USA,167,-,1198,-,652,72.4
688,University of Maine,USA,168,499,1304,123,909,72.4
695,University of North Texas,USA,169,-,767,-,666,72.3
704,Loyola University Chicago,USA,170,355,1072,-,669,72.3
710,University of Texas Medical Branch,USA,171,-,-,-,671,72.2
714,Mississippi State University,USA,172,317,429,-,702,72.2
724,University of Missouri-Kansas City,USA,173,473,585,-,696,72.1
728,Montana State University - Bozeman,USA,174,-,1369,-,689,72.1
729,University of Massachusetts Boston,USA,175,-,1243,189,839,72.1
741,University of Arkansas for Medical Sciences,USA,176,-,-,-,700,72.0
760,University of Alaska Fairbanks,USA,177,404,812,-,723,71.8
765,University of Idaho,USA,178,-,-,-,726,71.8
769,"University of Maryland, Baltimore County",USA,179,-,-,236,830,71.8
770,Augusta University,USA,180,-,-,-,729,71.8
772,Kent State University,USA,181,-,-,-,731,71.7
791,SUNY Downstate Medical Center,USA,182,-,-,148,996,71.6
798,Ohio University,USA,183,396,379,-,792,71.6
801,University of Montana,USA,184,272,-,-,769,71.5
804,University of North Carolina at Charlotte,USA,185,-,712,-,770,71.5
809,University of Rhode Island,USA,186,-,557,-,785,71.5
821,Northern Arizona University,USA,187,-,1104,-,784,71.4
822,Northern Illinois University,USA,188,-,779,-,791,71.4
829,"University of Nevada, Las Vegas",USA,189,-,864,-,795,71.3
830,Miami University,USA,190,-,110,-,987,71.3
838,University of Denver,USA,191,-,169,-,931,71.3
839,University of Toledo,USA,192,-,-,-,801,71.3
856,"University of California, Merced",USA,193,-,-,-,815,71.1
857,Old Dominion University,USA,194,-,-,-,816,71.1
872,Uniformed Services University of the Health Sciences,USA,195,-,-,-,828,71.0
883,Wesleyan University,USA,196,-,55,-,1577,71.0
893,New Mexico State University,USA,197,461,680,-,865,70.9
900,University of Louisiana at Lafayette,USA,198,-,-,-,857,70.9
914,Michigan Technological University,USA,199,354,903,-,878,70.8
921,Portland State University,USA,200,-,389,-,916,70.7
923,Missouri University of Science and Technology,USA,201,-,410,-,917,70.7
929,Claremont McKenna College,USA,202,-,37,-,-,70.7
941,Oberlin College,USA,203,26,-,-,-,70.6
949,University of Akron,USA,204,-,745,-,912,70.5
952,North Dakota State University,USA,205,293,986,-,920,70.5
957,Southern Illinois University Carbondale,USA,206,-,1506,-,914,70.5
961,East Carolina University,USA,207,-,813,-,921,70.5
962,New Jersey Institute of Technology,USA,208,425,682,-,928,70.5
973,Bucknell University,USA,209,-,54,-,1941,70.4
977,Pomona College,USA,210,27,931,271,-,70.4
980,Colgate University,USA,211,-,49,-,-,70.4
981,University of Memphis,USA,212,-,446,-,961,70.3
990,Babson College,USA,213,-,39,-,-,70.3
997,Pepperdine University,USA,214,94,87,168,-,70.2
1002,Sanford Burnham Prebys Medical Discovery Institute,USA,215,-,-,-,956,70.2
1003,American University,USA,216,-,374,-,988,70.2
1015,Florida Institute of Technology,USA,217,-,755,-,976,70.1
1016,University of Texas at El Paso,USA,218,-,994,-,972,70.1
1022,Hunter College,USA,219,146,1315,-,1028,70.1
1025,Villanova University,USA,220,412,142,-,1188,70.1
1026,University of Texas Rio Grande Valley,USA,221,-,-,-,978,70.1
1033,Louisiana Tech University,USA,222,-,337,-,1047,70.0
1035,Florida Atlantic University,USA,223,-,-,-,989,70.0
1038,Rochester Institute of Technology,USA,224,-,1090,-,993,70.0
1055,SUNY Upstate Medical University,USA,225,-,-,-,1006,69.9
1056,Creighton University,USA,226,-,-,-,1009,69.9
1057,Manhattan College,USA,227,-,114,-,1343,69.9
1081,Worcester Polytechnic Institute,USA,228,-,157,-,1240,69.8
1087,Fordham University,USA,229,-,224,-,1159,69.7
1089,United States Naval Academy,USA,230,66,170,-,1788,69.7
1101,University of North Carolina at Greensboro,USA,231,-,-,-,1055,69.6
1121,University of Puerto Rico at Mayagüez,USA,232,-,-,-,1072,69.5
1124,University of Massachusetts Lowell,USA,233,-,853,-,1083,69.5
1143,Loma Linda University,USA,234,-,-,-,1095,69.4
1146,Marquette University,USA,235,-,289,-,1191,69.4
1154,"California State University, Fresno",USA,236,-,-,-,1105,69.4
1161,Santa Clara University,USA,237,-,105,-,1559,69.3
1169,San Francisco State University,USA,238,-,947,-,1123,69.3
1177,United States Military Academy,USA,239,-,57,-,-,69.2
1178,New York Medical College,USA,240,-,-,-,1127,69.2
1180,South Dakota State University,USA,241,287,-,-,1146,69.2
1182,Bowdoin College,USA,242,113,81,-,-,69.2
1188,Smith College,USA,243,51,283,-,-,69.2
1203,"California Polytechnic State University, San Luis Obispo",USA,244,-,425,-,1207,69.1
1213,Howard University,USA,245,-,-,-,1157,69.0
1215,University of North Dakota,USA,246,-,905,-,1166,69.0
1218,Stevens Institute of Technology,USA,247,382,221,-,1344,69.0
1227,College of the Holy Cross,USA,248,187,62,-,-,69.0
1230,Hofstra University,USA,249,434,722,-,1192,69.0
1247,Boise State University,USA,250,-,1594,-,1193,68.9
1248,Oakland University,USA,251,-,-,-,1194,68.9
1249,Albany Medical College,USA,252,-,-,-,1195,68.9
1251,Texas State University,USA,253,-,1489,-,1197,68.9
1260,Catholic University of America,USA,254,-,1066,-,1210,68.8
1265,Wright State University,USA,255,-,-,-,1211,68.8
1273,University of Dayton,USA,256,201,158,-,1571,68.7
1287,University of Missouri-St. Louis,USA,257,-,378,-,1309,68.7
1293,"California State University, Fullerton",USA,258,-,1170,-,1234,68.6
1295,Clark University,USA,259,-,199,-,1448,68.6
1309,University of Alabama in Huntsville,USA,260,-,-,-,1246,68.6
1332,SUNY College of Environmental Science and Forestry,USA,261,98,-,-,1528,68.5
1336,Menlo College,USA,262,-,45,-,-,68.4
1356,"University of Puerto Rico, Medical Sciences Campus",USA,263,-,-,-,1294,68.3
1379,"California State University, Northridge",USA,264,-,1196,-,1318,68.2
1381,Bowling Green State University,USA,265,-,758,-,1341,68.2
1406,Carleton College,USA,266,78,299,-,1922,68.1
1410,San Jose State University,USA,267,252,1002,-,1394,68.1
1427,Hampton University,USA,268,-,-,-,1368,68.0
1428,Western Michigan University,USA,269,-,1383,-,1370,68.0
1429,Texas Christian University,USA,270,-,-,-,1369,68.0
1434,University of South Alabama,USA,271,-,-,-,1377,68.0
1436,University of San Francisco,USA,272,-,106,-,1995,68.0
1450,Williams College,USA,273,149,137,-,1950,67.9
1452,"California State University, Long Beach",USA,274,-,1478,-,1391,67.9
1456,Central Michigan University,USA,275,-,955,-,1401,67.9
1466,Rowan University,USA,276,-,-,-,1406,67.8
1480,Ball State University,USA,277,-,506,-,1465,67.8
1482,University of South Dakota,USA,278,295,-,-,1436,67.8
1489,Montclair State University,USA,279,-,1400,-,1426,67.7
1491,Baruch College,USA,280,-,701,263,1586,67.7
1495,University of Minnesota Duluth,USA,281,306,1314,-,1447,67.7
1503,Nova Southeastern University,USA,282,-,1019,-,1439,67.7
1522,University of Tulsa,USA,283,-,210,-,1689,67.6
1525,Grinnell College,USA,284,47,-,-,-,67.6
1526,Clarkson University,USA,285,-,857,-,1473,67.6
1533,University of Southern Mississippi,USA,286,-,-,-,1468,67.5
1543,Fairfield University,USA,287,-,504,-,1525,67.5
1570,Utah Valley University,USA,288,-,-,-,1499,67.4
1577,Texas Tech University Health Sciences Center,USA,289,-,-,-,1504,67.4
1578,DePaul University,USA,290,365,572,-,1555,67.4
1585,Trinity University,USA,291,-,145,-,1975,67.3
1586,Illinois State University,USA,292,-,768,-,1531,67.3
1611,Eastern Virginia Medical School,USA,293,-,-,-,1540,67.2
1612,"California State University, Los Angeles",USA,294,-,840,-,1553,67.2
1616,Claremont Graduate University,USA,295,303,-,271,1665,67.2
1620,"Queens College, City University of New York",USA,296,-,804,-,1568,67.2
1623,Ohio Wesleyan University,USA,297,62,152,-,-,67.2
1631,Cleveland State University,USA,298,-,822,-,1576,67.1
1632,Chapman University,USA,299,-,1022,-,1569,67.1
1641,University of Massachusetts Dartmouth,USA,300,-,1269,-,1574,67.1
1655,Georgia Southern University,USA,301,-,-,-,1585,67.0
1663,University of North Carolina Wilmington,USA,302,-,-,-,1593,67.0
1681,Western Washington University,USA,303,-,1231,-,1614,66.9
1685,"California State University, Sacramento",USA,304,-,581,-,1657,66.9
1692,James Madison University,USA,305,-,834,-,1638,66.9
1697,Appalachian State University,USA,306,-,1165,-,1630,66.9
1710,Marshall University,USA,307,426,431,-,1725,66.8
1718,Brooklyn College,USA,308,132,1557,-,1862,66.8
1720,College of Charleston,USA,309,-,-,-,1645,66.8
1730,St. John's University,USA,310,-,206,-,1981,66.7
1731,Cooper Union,USA,311,46,623,-,-,66.7
1762,New Mexico Institute of Mining and Technology,USA,312,-,-,-,1696,66.6
1769,Jackson State University,USA,313,-,-,-,1703,66.6
1785,Kennesaw State University,USA,314,-,-,-,1717,66.5
1787,South Dakota School of Mines and Technology,USA,315,134,-,-,1965,66.5
1793,Embry-Riddle Aeronautical University,USA,316,-,1450,-,1726,66.5
1799,East Tennessee State University,USA,317,-,-,-,1731,66.5
1802,Union College,USA,318,176,125,-,-,66.5
1819,Hamilton College,USA,319,77,257,-,-,66.4
1820,Idaho State University,USA,320,452,-,-,1754,66.4
1827,Naval Postgraduate School,USA,321,-,1309,-,1759,66.4
1834,Towson University,USA,322,-,792,-,1783,66.3
1837,University of New Orleans,USA,323,-,-,-,1764,66.3
1843,University of Alaska Anchorage,USA,324,-,-,-,1769,66.3
1845,"University of Puerto Rico, Río Piedras Campus",USA,325,-,-,-,1771,66.3
1846,Kettering University,USA,326,-,77,-,-,66.3
1861,Franklin & Marshall College,USA,327,114,686,-,-,66.2
1876,Drew University,USA,328,-,655,126,-,66.2
1894,University of Arkansas at Little Rock,USA,329,-,1274,-,1820,66.1
1925,Wellesley College,USA,330,-,723,-,1874,66.0
1930,Florida Agricultural and Mechanical University,USA,331,-,-,-,1856,66.0
1935,Washington and Lee University,USA,332,104,193,-,-,66.0
1955,University of Richmond,USA,333,-,-,-,1877,65.9
1957,Duquesne University,USA,334,-,828,-,1900,65.9
1992,University of North Florida,USA,335,-,-,-,1917,65.8
